,userId,nbFollowers,nbFollowings,nbFavorites,nbSocialMediaAcc
0,1935601099,0.0,0,1045,0
1,1935601099,0.0,0,157,0
2,927613872390975488,0.0,0,3,0
3,1935601099,0.0,0,220,0
4,4495931,60281.0,32766,12104,1
5,3696241,334.0,457,0,0
6,15016209,7131754.0,39,31,1
7,16310319,18548.0,148,13,0
8,15883237,1985.0,898,0,0
9,16626956,2653596.0,5,39,0
10,23186079,8631496.0,71,1761,0
11,33536404,273849.0,738,19727,0
12,23186079,8631496.0,71,0,0
13,23186079,8631496.0,71,386,0
14,23186079,8631496.0,71,39,0
15,23186079,8631496.0,71,1692,0
16,71108476,1288628.0,2835,53,0
17,76762055,471979.0,73,4170,0
18,60668913,1214852.0,606,36,1
19,71108476,1288628.0,2835,6,0
20,30567448,8885.0,28,626,0
21,71108476,1288628.0,2835,5610,0
22,23186079,8631496.0,71,7415,0
23,23186079,8631496.0,71,8329,1
24,95956201,13448.0,9098,3,0
25,71108476,1288628.0,2835,234,1
26,23186079,8631496.0,71,27954,0
27,60334462,105673.0,443,62,0
28,69167515,193029.0,206,94126,0
29,68723264,2181.0,291,26,0
30,68723264,2181.0,291,55,0
31,71108476,1288628.0,2835,88,0
32,60334462,105673.0,443,8739,0
33,23186079,8631496.0,71,81212,1
34,44982012,85926.0,4,285,1
35,23186079,8631496.0,71,5712,0
36,69365359,1704.0,333,9093,0
37,95439391,1579821.0,255,7117,0
38,35201774,218364.0,97,631,0
39,71108476,1288628.0,2835,158,0
40,60611223,2132.0,1155,43,1
41,36222372,26518.0,448,2158,0
42,62198384,176229.0,261,183,0
43,23186079,8631496.0,71,30819,0
44,92548679,286653.0,1171,324,0
45,23186079,8631496.0,71,1902,0
46,76762055,471979.0,73,9916,0
47,47070156,110679.0,16,3,1
48,77419430,951670.0,130,982,1
49,48971197,33049.0,204,2253,1
50,64820716,1010894.0,51,163984,0
51,68034431,13974880.0,95,84372,1
52,94543804,283308.0,875,19903,1
53,31094717,107794.0,2,34,1
54,22924311,3319323.0,75,682,0
55,49692305,6416.0,2467,9,0
56,68034431,13974880.0,95,15537,0
57,92748776,10877.0,502,21667,1
58,19942168,182661.0,11,1510,1
59,68034431,13974880.0,95,33702,1
60,71108476,1288628.0,2835,1942,1
61,94543804,283308.0,875,3307,1
62,56764903,60988.0,348,9,1
63,68034431,13974880.0,95,30373,1
64,69897962,2049.0,577,39,2
65,74397391,1614911.0,61,2697,1
66,69167515,193029.0,206,4573,0
67,77189080,144123.0,4,126,4
68,45819962,421161.0,1,658,1
69,56764903,60988.0,348,23,1
70,73080402,16514.0,13570,194,1
71,73080402,16514.0,13570,208,1
72,63829194,106471.0,38,3564,0
73,44982012,85926.0,4,292,1
74,97453133,725.0,487,15,1
75,98149527,198190.0,0,358,1
76,80549263,1217827.0,6,1428,1
77,44982012,85926.0,4,418,1
78,68034431,13974880.0,95,17463,0
79,93183233,8552.0,351,61,0
80,68034431,13974880.0,95,26605,0
81,69897962,2049.0,577,36,0
82,36413418,44366.0,173,1069,0
83,85420539,155615.0,995,2388,0
84,68034431,13974880.0,95,16512,1
85,67155761,16689.0,521,571,0
86,93499827,12804.0,2690,622,0
87,74397391,1614911.0,61,35,1
88,73080402,16514.0,13570,238,1
89,96430842,219292.0,18,2896,0
90,23186079,8631496.0,71,22067,1
91,38399582,19000.0,699,2,1
92,95897602,538625.0,46,118,1
93,48971197,33049.0,204,522,0
94,87282413,14404.0,486,50,1
95,74397391,1614911.0,61,1615,1
96,80549263,1217827.0,6,1074,1
97,68034431,13974880.0,95,13218,0
98,80931720,1361615.0,619,140,1
99,23186079,8631496.0,71,3918,0
100,49119658,3210.0,3340,6,0
101,87282413,14404.0,486,31,4
102,74480433,3999.0,349,0,1
103,22540376,7582.0,8,0,0
104,66708116,313.0,1023,0,0
105,21574395,599.0,746,0,0
106,97184872,1791.0,386,10,0
107,93150869,1540.0,386,0,0
108,91635317,229.0,1055,0,0
109,64215971,339.0,890,0,0
110,97779384,60522.0,4,9,1
111,55537787,674.0,1034,0,0
112,93148535,604.0,339,0,0
113,42439482,294.0,745,0,0
114,71108476,1288628.0,2835,1417,1
115,68034431,13974880.0,95,1271,0
116,49381990,1573512.0,445,1058,0
117,91879915,3146.0,1013,0,0
118,19942168,182661.0,11,1004,1
119,78254937,266427.0,311,425,1
120,78254937,266427.0,311,23,0
121,66968296,269796.0,30,3,1
122,88925756,40937.0,431,161,0
123,21418513,138893.0,5,0,1
124,69827426,109.0,15,0,0
125,76882928,90.0,238,0,0
126,95170409,134.0,356,11,1
127,94040044,201812.0,58,163,1
128,20672583,4077.0,817,0,0
129,96407750,306.0,293,0,0
130,94607195,1035.0,78,0,0
131,70888150,323.0,751,1,0
132,80549263,1217827.0,6,37,1
133,97109536,954.0,728,1,1
134,83790860,1187.0,2538,0,0
135,64820716,1010894.0,51,725,0
136,93291907,158.0,311,0,0
137,75350817,1996.0,456,0,0
138,41096155,2302.0,1871,0,0
139,91656276,187.0,177,0,0
140,96082963,1433267.0,861745,1704,1
141,93479134,174.0,90,0,1
142,48684646,1662.0,3915,0,0
143,74730822,36142.0,51,4,4
144,26574355,74.0,409,0,0
145,26763070,943712.0,2,802,0
146,97937876,700.0,3201,0,0
147,22626881,800249.0,39,0,1
148,62247423,64.0,195,0,0
149,34885996,361.0,357,0,0
150,65669801,34568.0,65,1271,1
151,91779973,103.0,480,0,0
152,37898549,1285.0,548,0,0
153,61425604,5571.0,2014,2,0
154,94428018,545.0,544,0,1
155,19149088,44846.0,23446,246,1
156,58467170,273.0,1269,0,0
157,33880747,753.0,487,0,0
158,94311180,400.0,395,0,0
159,62655602,409.0,440,0,0
160,56665222,254.0,183,71,0
161,85664182,299.0,313,0,0
162,92243807,695.0,41,0,0
163,79134011,112.0,264,0,0
164,33506068,251.0,445,0,0
165,95494692,3618.0,967,0,0
166,97316295,2975193.0,21,93,0
167,92080832,409.0,77,0,0
168,83736699,335.0,80,0,0
169,40523038,165643.0,909,154,0
170,76324893,21.0,44,0,0
171,50015583,9484.0,1279,818,1
172,72528842,479.0,253,0,0
173,93591316,143.0,196,0,0
174,76684200,128.0,168,0,0
175,96954618,200.0,268,0,0
176,40214064,704.0,599,0,0
177,94573877,396.0,1438,0,0
178,73673589,84.0,227,0,0
179,97184872,1791.0,386,5,0
180,35830834,3.0,21,0,2
181,61168062,4895207.0,12,10,1
182,93150869,1540.0,386,0,3
183,97779384,60522.0,4,3,1
184,87805997,275.0,222,0,0
185,65934938,392.0,652,0,0
186,91804380,149.0,284,1,0
187,95173061,322.0,250,2,1
188,18871213,1429.0,2361,3,0
189,70692920,355.0,1451,0,0
190,58465695,2323.0,710,6,0
191,82694145,131.0,811,0,0
192,87412370,870.0,375,5,0
193,77431747,17408.0,5626,266,1
194,91548144,441.0,2460,0,0
195,95435139,218.0,1711,0,0
196,214930248,918495.0,1185,4,0
197,99174814,851.0,508,0,0
198,165594822,310840.0,559,5,0
199,117730774,16174.0,1,4,1
200,168646867,33864.0,276,2137,0
201,128489696,436455.0,70,166,1
202,215895987,19677.0,282,3765,1
203,111561347,1911.0,387,2613,0
204,148735179,5716.0,5560,1635,2
205,158403137,68280.0,73,61,1
206,109094047,38966.0,11,338,1
207,168822436,16276.0,243,46465,0
208,106791383,4872.0,535,32,0
209,108278047,902.0,702,6,1
210,180291002,4648.0,182,503,1
211,180291002,4648.0,182,158,2
212,209685034,137.0,408,1,0
213,125133622,84904.0,236,603,0
214,153934325,228.0,296,0,0
215,137630414,798943.0,2,375,1
216,161260091,7890.0,460,32987,1
217,150566311,6508178.0,567,2211,0
218,163848722,3636998.0,0,22883,0
219,177884455,1056957.0,2052,12516,1
220,163848722,3636998.0,0,4768,0
221,214017108,4930135.0,0,9216,0
222,187486480,27550.0,22,1416,1
223,167835569,28000.0,278,5472,1
224,124496782,11406.0,590,164,1
225,157948384,7170.0,881,1207,0
226,157948384,7170.0,881,523,0
227,165594822,310840.0,559,858,1
228,175868806,8162.0,3593,51,3
229,124726283,30865.0,1665,2,0
230,215358937,3596.0,2810,141,1
231,127202275,17272.0,311,1436,0
232,176064753,89888.0,228,6817,0
233,221378591,3639.0,52,387,0
234,165594822,310840.0,559,3328,0
235,146189635,476.0,245,27,0
236,120450575,468.0,463,146,1
237,182365162,52420.0,2517,382,0
238,177884455,1056957.0,2052,2790,1
239,219459066,142471.0,1408,1037,1
240,170428440,6731254.0,121,70262,0
241,157813728,38985.0,20762,42089,1
242,173315794,398342.0,1736,8646,0
243,106093163,53804.0,528,1258,0
244,214017108,4930135.0,0,19045,0
245,184006040,45996.0,620,562,0
246,125332490,100432.0,5,306,1
247,98634644,460583.0,211,1539,0
