,client_id,CustomerID,Country
0,0,17850,United Kingdom
1,1,13047,United Kingdom
2,2,12583,France
3,3,13748,United Kingdom
4,4,15100,United Kingdom
5,5,15291,United Kingdom
6,6,14688,United Kingdom
7,7,17809,United Kingdom
8,8,15311,United Kingdom
9,9,16098,United Kingdom
10,10,18074,United Kingdom
11,11,17420,United Kingdom
12,12,16029,United Kingdom
13,13,16250,United Kingdom
14,14,12431,Australia
15,15,17511,United Kingdom
16,16,13705,United Kingdom
17,17,13747,United Kingdom
18,18,13408,United Kingdom
19,19,13767,United Kingdom
20,20,17924,United Kingdom
21,21,13448,United Kingdom
22,22,15862,United Kingdom
23,23,15513,United Kingdom
24,24,12791,Netherlands
25,25,16218,United Kingdom
26,26,14045,United Kingdom
27,27,14307,United Kingdom
28,28,17908,United Kingdom
29,29,17920,United Kingdom
30,30,12838,United Kingdom
31,31,13255,United Kingdom
32,32,16583,United Kingdom
33,33,18085,United Kingdom
34,34,13758,United Kingdom
35,35,13694,United Kingdom
36,36,15983,United Kingdom
37,37,14849,United Kingdom
38,38,17968,United Kingdom
39,39,16210,United Kingdom
40,40,17897,United Kingdom
41,41,17377,United Kingdom
42,42,16552,United Kingdom
43,43,17181,United Kingdom
44,44,17951,United Kingdom
45,45,14729,United Kingdom
46,46,12748,United Kingdom
47,47,15012,United Kingdom
48,48,12868,United Kingdom
49,49,17572,United Kingdom
50,50,14078,United Kingdom
51,51,14001,United Kingdom
52,52,12662,Germany
53,53,15525,United Kingdom
54,54,14237,United Kingdom
55,55,17905,United Kingdom
56,56,15485,United Kingdom
57,57,12433,Norway
58,58,16955,United Kingdom
59,59,15350,United Kingdom
60,60,15605,United Kingdom
61,61,18144,United Kingdom
62,62,15922,United Kingdom
63,63,14594,United Kingdom
64,64,15165,United Kingdom
65,65,14911,Ireland
66,66,16456,United Kingdom
67,67,17346,United Kingdom
68,68,17643,United Kingdom
69,69,17841,United Kingdom
70,70,17873,United Kingdom
71,71,13093,United Kingdom
72,72,12921,United Kingdom
73,73,13468,United Kingdom
74,74,17760,United Kingdom
75,75,16928,United Kingdom
76,76,16048,United Kingdom
77,77,16274,United Kingdom
78,78,14496,United Kingdom
79,79,14696,United Kingdom
80,80,16539,United Kingdom
81,81,17025,United Kingdom
82,82,13777,United Kingdom
83,83,17690,United Kingdom
84,84,12947,United Kingdom
85,85,17460,United Kingdom
86,86,18229,United Kingdom
87,87,14142,United Kingdom
88,88,17069,United Kingdom
89,89,13065,United Kingdom
90,90,14606,United Kingdom
91,91,16835,United Kingdom
92,92,15235,United Kingdom
93,93,13576,United Kingdom
94,94,18011,United Kingdom
95,95,13090,United Kingdom
96,96,15694,United Kingdom
97,97,14741,United Kingdom
98,98,13715,United Kingdom
99,99,17732,United Kingdom
100,100,12855,United Kingdom
101,101,15752,United Kingdom
102,102,17855,United Kingdom
103,103,14047,United Kingdom
104,104,17925,United Kingdom
105,105,13941,United Kingdom
106,106,17017,United Kingdom
107,107,14135,United Kingdom
108,108,13108,United Kingdom
109,109,15601,United Kingdom
110,110,13418,United Kingdom
111,111,15658,United Kingdom
112,112,14388,United Kingdom
113,113,14901,United Kingdom
114,114,18041,United Kingdom
115,115,15955,United Kingdom
116,116,15070,United Kingdom
117,117,16244,United Kingdom
118,118,15111,United Kingdom
119,119,14390,United Kingdom
120,120,16546,United Kingdom
121,121,15260,United Kingdom
122,122,13305,United Kingdom
123,123,14491,United Kingdom
124,124,14060,United Kingdom
125,125,15923,United Kingdom
126,126,16752,United Kingdom
127,127,17287,United Kingdom
128,128,15363,United Kingdom
129,129,12915,United Kingdom
130,130,15544,United Kingdom
131,131,15738,United Kingdom
132,132,17381,United Kingdom
133,133,15827,United Kingdom
134,134,14180,United Kingdom
135,135,13117,United Kingdom
136,136,16916,United Kingdom
137,137,17964,United Kingdom
138,138,14466,United Kingdom
139,139,17235,United Kingdom
140,140,16510,United Kingdom
141,141,17802,United Kingdom
142,142,15107,United Kingdom
143,143,17976,United Kingdom
144,144,14449,United Kingdom
145,145,16781,United Kingdom
146,146,13491,United Kingdom
147,147,16186,United Kingdom
148,148,17685,United Kingdom
149,149,17581,United Kingdom
150,150,15732,United Kingdom
151,151,13138,United Kingdom
152,152,15823,United Kingdom
153,153,17567,United Kingdom
154,154,15061,United Kingdom
155,155,16203,United Kingdom
156,156,15640,United Kingdom
157,157,15574,United Kingdom
158,158,16770,United Kingdom
159,159,17838,United Kingdom
160,160,17228,United Kingdom
161,161,14829,United Kingdom
162,162,17412,United Kingdom
163,163,14031,United Kingdom
164,164,14775,United Kingdom
165,165,12971,United Kingdom
166,166,17659,United Kingdom
167,167,15299,United Kingdom
168,168,15646,United Kingdom
169,169,13402,United Kingdom
170,170,17757,United Kingdom
171,171,13011,United Kingdom
172,172,13798,United Kingdom
173,173,16754,United Kingdom
174,174,16634,United Kingdom
175,175,18239,United Kingdom
176,176,14576,United Kingdom
177,177,13145,United Kingdom
178,178,18168,United Kingdom
179,179,14395,United Kingdom
180,180,14865,United Kingdom
181,181,15093,United Kingdom
182,182,12738,Germany
183,183,16150,United Kingdom
184,184,17552,United Kingdom
185,185,14236,United Kingdom
186,186,17961,United Kingdom
187,187,14573,United Kingdom
188,188,17135,United Kingdom
189,189,17396,United Kingdom
190,190,12967,United Kingdom
191,191,12686,France
192,192,13370,United Kingdom
193,193,16883,United Kingdom
194,194,13520,Switzerland
195,195,12841,United Kingdom
196,196,16905,United Kingdom
197,197,12427,Germany
198,198,17967,United Kingdom
199,199,16891,United Kingdom
200,200,14589,United Kingdom
201,201,14156,Ireland
202,202,14680,United Kingdom
203,203,17884,United Kingdom
204,204,12557,Spain
205,205,14083,United Kingdom
206,206,13013,United Kingdom
207,207,14210,United Kingdom
208,208,16477,United Kingdom
209,209,12600,Germany
210,210,16013,United Kingdom
211,211,17949,United Kingdom
212,212,12779,Poland
213,213,16926,United Kingdom
214,214,17787,United Kingdom
215,215,12682,France
216,216,14723,United Kingdom
217,217,17954,United Kingdom
218,218,17819,United Kingdom
219,219,12712,Germany
220,220,15373,United Kingdom
221,221,16140,United Kingdom
222,222,17198,United Kingdom
223,223,17238,United Kingdom
224,224,12793,Portugal
225,225,15769,United Kingdom
226,226,14396,United Kingdom
227,227,14898,United Kingdom
228,228,12725,Italy
229,229,16725,United Kingdom
230,230,12395,Belgium
231,231,16455,United Kingdom
232,232,13081,United Kingdom
233,233,15545,United Kingdom
234,234,17243,United Kingdom
235,235,15465,United Kingdom
236,236,13089,United Kingdom
237,237,16033,United Kingdom
238,238,13838,United Kingdom
239,239,18055,United Kingdom
240,240,15038,United Kingdom
241,241,18109,United Kingdom
242,242,13069,United Kingdom
243,243,16241,United Kingdom
244,244,14800,United Kingdom
245,245,15708,United Kingdom
246,246,16839,United Kingdom
247,247,16168,United Kingdom
248,248,16931,United Kingdom
249,249,16814,United Kingdom
250,250,15351,United Kingdom
251,251,13269,United Kingdom
252,252,14813,United Kingdom
253,253,12567,France
254,254,17062,United Kingdom
255,255,15332,Lithuania
256,256,14810,United Kingdom
257,257,16353,United Kingdom
258,258,18118,United Kingdom
259,259,13831,United Kingdom
260,260,13506,United Kingdom
261,261,17796,United Kingdom
262,262,15716,United Kingdom
263,263,18156,United Kingdom
264,264,16983,United Kingdom
265,265,17059,United Kingdom
266,266,16327,United Kingdom
267,267,17211,United Kingdom
268,268,17026,United Kingdom
269,269,15570,United Kingdom
270,270,15880,United Kingdom
271,271,16718,United Kingdom
272,272,15808,United Kingdom
